"Supplementary Table 1.  Data used in the comparative analyses.  For details on data sources and scoring, see Methods.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Species,TST,REM,NREM,Endocranial Volume,Male Mass (kg),Female_Mass (kg),Folivory,N_Diet_Category,Open_Habitat,Terrestrial,Day Journey Length,Group Size,Activity Period,Nocturnal,Cathemeral
Aotus_trivirgatus,16.97,1.82,15.15,16.85,0.813,0.769333333,1,3,0,0,0.66,3,N,1,0
Callithrix_jacchus,9.5,1.61,7.9,7.24,0.341,0.337333333,0,2,0,0,0.75,9,D,0,0
Chlorocebus_aethiops,9.77,0.65,9.044,65,4.26,2.98,1,3,1,1,1.5,29.8,D,0,0
Erythrocebus_patas,10.9,0.86,9.99,97.73,12.4,6.5,0,4,1,1,2.5,20,D,0,0
Eulemur_coronatus,8.96,NA,NA,20.65,1.485,1.35,0,1,1,0,0.91,4.19,C,0,1
Eulemur_flavifrons,8.84,NA,NA,24.51,1.56,2.17,0,1,0,0,1.378,6.45,C,0,1
Eulemur_macaco,9.65,0.84,8.81,24.51,1.989,1.949,0,1,0,0,0.583,11.75,C,0,1
Eulemur_mongoz,11.9,0.72,11.16,20.17,1.52,1.585,0,2,0,0,0.61,3,C,0,1
Homo_sapiens,7,1.56,5.41,1418,62.2,54.425,1,4,1,1,6.9,26,D,0,0
Lemur_catta,11.05,NA,NA,22.9,2.21,2.21,1,2,0,1,0.97,18,C,0,1
Macaca_arctoides,9,1.38,7.65,100.7,12.2,8.4,0,1,0,1,1.7,27,D,0,0
Macaca_fascicularis,10.46,1.71,8.74,63.98,5.36,3.59,1,3,0,0,0.7,23,D,0,0
Macaca_mulatta,10.23,2.05,8.19,88.98,9.355,7.085,0,2,0,1,1.62,68,D,0,0
Macaca_nemestrina,9.88,0.99,8.89,105.59,9.45,5.7,1,4,0,1,2,26,D,0,0
Macaca_radiata,9.1,1.05,8.06,74.87,6.67,3.85,1,2,0,1,0.85,28,D,0,0
Macaca_sylvanus,11.74,1.07,10.68,93.2,16,11,1,3,0,1,1.44,40,D,0,0
Microcebus_murinus,15.36,0.99,14.37,1.63,0.071666667,0.068,1,3,0,0,3.83,8,N,1,0
Pan_troglodytes,9.67,1.45,8.22,368.35,49.567,40.367,1,2,0,1,2.1,47.6,D,0,0
Papio_anubis,9.84,1.39,8.45,167.42,23.15,12.5,0,2,1,1,5.4,34,D,0,0
Papio_hamadryas,9.83,1.27,8.61,146.17,18.95,10.65,0,2,1,1,10.7,16,D,0,0
Papio_papio,10.07,1.06,9.01,142.5,23,12,0,2,0,1,5.84,120,D,0,0
Perodicticus_potto,11,NA,NA,12.42,1.04,1.023,1,4,0,0,2.5,2,N,1,0
Phaner_furcifer,11.5,NA,NA,6.68,0.3276,0.3507,0,3,0,0,3.15,3,N,1,0
Pongo_pygmaeus,9.11,1.11,8,377.38,78.2,35.7,1,3,0,0,0.55,2,D,0,0
Propithecus_coquereli,10.63,NA,NA,33.91,0.37,0.428,1,3,0,0,0.68,6,D,0,0
Saguinus_oedipus,13.18,NA,NA,9.76,0.45,0.453,0,3,0,0,1.7,7,D,0,0
Saimiri_sciureus,9.72,1.77,7.8,24.14,0.9162,0.7042,0,2,0,0,1.76,30,D,0,0
Theropithecus_gelada,10.91,NA,NA,133.33,19,11.7,1,2,1,1,2.5,93,D,0,0
Varecia_rubra,9.81,NA,NA,32.12,3.3,3.64,1,3,0,0,1.04,11,C,0,1
Varecia_variegata,10.9,NA,NA,32.12,3.4616,3.3494,1,3,0,0,1.26,11,C,0,1
