Infraorder,Superfamily,Family,Subfamily,Species,Source,Identifier,Storage,Sex,Age (years),Body mass (kg),Brain mass (g),Post-mortem (h),Total brain volume (mm3),Telencephalon (mm3),Hemispheres (mm3),Right hemisphere  (mm3),Left hemisphere  (mm3),Corpus callosum (mm3),Neocortical grey (mm3),Right neocortical grey (mm3),Left neocortical grey (mm3),Lateral geniculate nucleii (mm3),Right lateral geniculate nucleus (mm3),Left lateral geniculate nucleus (mm3),Cerebellum (mm3),Included in Table 1,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strepsirrhini,Cheirogalioidea,Cheirogalidae,,Microcebus murinus,Primate Brain Bank,PB0114,Sucrose, male,8.6,0.05,,5,1696.29,1036.36,1019.26,501.91,517.35,17.10,763.02,372.78,390.23,6.76,3.46,3.31,257.44, Yes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strepsirrhini,,Galagidae,,Galago senegalensis,Primate Brain Bank,PB0123,Sucrose, male,20.9,,,7,3574.89,2341.69,2289.20,1130.49,1158.72,52.48,1674.90,815.84,859.06,13.81,7.01,6.81,578.05, Yes , Slight damage in venticles; relevant damage in R temporal lobe/R amygdala ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strepsirrhini,Lemurioidea,Lemuridae,,Eulemur coronatus,Primate Brain Bank,PB0609,Sucrose, male,23.8,6,144.0,26,17279.32,12214.19,11947.36,5996.97,5950.39,266.83,NA,NA,NA,27.66,8.07,19.59,2389.62, No , Temporal lobes partially missing; both amygdalas missing; venticle in L side deforms diencephalon; medulla incomplete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Aotidae,,Aotus lemurinus griseimembra,Primate Brain Bank,PB0425,Sucrose, male,15.3,1.16,,24,14646.57,11045.66,10819.66,5438.58,5381.08,225.99,7632.45,3844.05,3788.40,31.69,15.95,15.74,1701.99, Yes , Small pieces in frontal lobes missing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Aotidae,,Aotus trivirgatus boliviensis,Primate Brain Bank,PB0306,Sucrose, male,10.5,0.96,,6,16920.08,13091.83,12845.25,6417.12,6428.12,246.59,9675.47,5323.50,4351.97,29.41,15.63,13.78,1623.46, Yes , Irregular neocortex surface; slightly damaged cerebellum; incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Atelidae,Atelinae,Ateles fusciceps robustus,Primate Brain Bank,PB0611,Sucrose,female,31.3,7.5,124.0,56,104988.09,83409.38,81649.80,41049.01,40600.79,1759.59,53484.99,26987.76,26497.22,153.82,75.79,78.04,12382.19, Yes ," Piece of R frontal hemisphere deattached, but complete; incomplete medulla ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Atelidae,Atelinae,Lagothrix lagotricha,Primate Brain Bank,PB0630,Sucrose,female,8,,94.0,24,91676.70,73727.19,72285.94,36177.50,36108.44,1441.25,46869.06,23476.88,23392.19,122.34,62.31,60.03,9707.56, Yes , Incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Callimico goeldii,Primate Brain Bank,PB0314,Sucrose, male,11.9,,13.8,15,12112.34,9129.15,8961.89,4532.56,4429.33,167.26,6191.43,3139.88,3051.55,37.18,17.22,19.96,1270.39, Yes ," Hemispheres deteriorated, deformed, R amygdala damaged ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Callithrix geoffroyi,Primate Brain Bank,PB0212,Sucrose,female,4.4,,8.2,3.5,7098.63,5444.31,5368.57,2676.82,2691.75,75.75,4057.73,2020.29,2037.44,21.62,10.78,10.84,713.35, Yes ," Slightly deformed, surface of neocortex slightly deteriorated, not relevant ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Callithrix jacchus,Primate Brain Bank,PB0315,Sucrose, male,3.2,,,47,8124.76,6314.91,6196.27,3122.18,3074.09,118.64,4541.98,2305.72,2236.25,24.52,12.49,12.03,686.23, Yes ," R hemisphere fragmented, but complete; incomplete medulla ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platyrrhini,,Cebidae,Callitrichinae,Callithrix penicillata,Primate Brain Bank,PB0513,Sucrose,female,5.8,,7.0,5,6157.56,4691.41,4600.96,2296.21,2304.75,90.44,3299.99,1642.04,1657.95,19.06,9.76,9.29,659.59, Yes , Incomplete medulla ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
