Supplementary dataset: Morphological and metabolic data,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"N: number and sex of individuals for each species; Provenience: individual origin (captive or wild); BMOrg: body mass associated to organs masses; FFBM: fat-free body mass; Visc. mass: sum of all visceral organs; AD measure: abd=abdominal depots scaled to total by multiplication with 3.419 (see Methods), total=abdominal, subcutaneous and intermuscular depots; BMBMR: body mass associated to basal metabolic rate; BMR: basal metabolic rate; Substitute species: close-related species with available BMR.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Order,Species,N,Provenience,Habitat,BMOrg [g],FFBM [g],Brain mass [g],Heart mass [g],Lungs mass [g],Kidneys mass [g],Liver mass [g],Digestive tract mass [g],Stomach mass [g],Intestine mass [g],Spleen mass [g],Visc. mass [g],Adipose depots [g],AD measure,BMBMR [g],BMR [mLO2/h],Substitute species,Source BMR
Artiodactyla,Capreolus capreolus,1f,Wild,Temperate,20000.00,18358.88,100.00,160.00,260.00,80.00,480.00,1020.00,680.00,340.00,100.00,2100.00,1641.12,abd,20388.90,8161.20,,1
Artiodactyla,Gazella gazella,1f,Captive,Tropical,15000.00,14702.17,79.25,119.98,349.32,40.59,326.91,587.12,364.77,222.35,33.66,1457.58,297.83,abd,,,,
Artiodactyla,Pudu puda,1m,Captive,Temperate,12900.00,10340.88,61.64,50.48,102.98,19.92,205.73,153.05,112.13,40.92,61.81,593.97,2559.12,abd,,,,
Carnivora,Aonyx cinerea,3f/1m,Captive,Tropical,2675.00,2504.55,35.94,15.14,40.61,30.55,106.42,45.40,11.42,33.98,18.74,256.86,170.45,abd,,,,
Carnivora,Arctictis binturong,1f/1m,Captive,Tropical,10300.00,9954.63,60.48,75.19,240.16,51.33,915.18,239.70,83.88,155.82,20.68,1542.24,345.37,abd,14280.00,1128.10,,1
Carnivora,Canis lupus chango,2m,Captive,Temperate,38000.00,32753.10,139.86,302.85,872.40,206.90,970.70,799.60,318.80,480.80,134.45,3286.90,5246.90,total,10550.00,3957.90,,1
Carnivora,Chrotagale owstoni,1f,Captive,Tropical,1960.00,1909.36,23.31,11.58,21.53,12.79,44.05,60.46,17.19,43.27,4.91,155.32,50.64,abd,,,,
Carnivora,Cuon alpinus,1f/1m,Captive,Both,20000.00,16434.19,116.29,157.79,263.22,76.41,346.22,265.90,110.25,155.65,54.53,1164.06,3565.81,abd,,,,
Carnivora,Felis chaus,1m,Captive,Both,9800.00,8543.24,49.73,48.26,137.84,81.85,152.83,143.07,50.00,93.07,24.30,588.15,1256.76,abd,,,,
Carnivora,Felis silvestris,2f,Wild,Temperate,2572.57,2429.16,38.07,10.33,25.74,15.35,50.17,101.08,21.40,79.69,3.69,206.36,143.40,total,2618.00,983.80,,10
Carnivora,Helogale parvula,1m,Captive,Tropical,260.30,246.15,5.18,1.53,3.79,2.45,11.05,7.43,3.02,4.41,0.88,27.13,14.15,abd,,,,
Carnivora,Leopardus geoffroyi,1f,Captive,Both,3100.00,2498.91,32.12,16.03,34.27,30.66,58.43,53.75,18.10,35.65,23.86,217.00,601.09,abd,,,,
Carnivora,Lontra canadensis,1f,Captive,Temperate,7900.00,7570.48,42.48,54.05,309.58,74.72,255.00,109.48,24.26,85.22,73.79,876.62,329.52,abd,,,,
Carnivora,Lutra lutra,2f,Wild,Temperate,5325.00,4859.69,47.79,51.37,142.04,61.06,254.64,120.66,33.05,87.61,27.32,777.73,465.31,abd,8671.40,4813.30,,1
Carnivora,Lutrogale perspicillata,1f,Captive,Tropical,5100.00,4922.25,62.16,48.47,101.29,48.45,152.09,127.94,40.27,87.67,12.71,490.95,177.75,abd,,,,
Carnivora,Lynx canadensis,1f,Captive,Temperate,10000.00,9165.32,82.62,38.81,93.78,54.91,157.87,171.01,63.89,107.12,8.00,524.38,834.68,abd,9400.00,4220.60,L. rufus,1
Carnivora,Lynx lynx,1f,Captive,Temperate,17500.00,12860.42,94.28,92.70,206.70,79.50,263.50,321.50,137.50,184.00,26.00,989.90,4639.58,abd,,,,
Carnivora,Martes foina,3f/5m,Wild,Temperate,1406.36,1363.52,19.03,9.80,20.07,7.34,34.87,46.62,14.56,32.06,5.48,124.18,42.85,total,,,,
Carnivora,Martes martes,1f/2m,Wild,Temperate,1603.33,1540.08,20.46,10.85,22.83,8.79,37.89,33.08,13.21,19.87,3.00,116.44,63.25,abd,920.00,752.10,,1
Carnivora,Martes pennanti,1m,Wild,Temperate,4790.00,4625.10,41.20,27.40,53.30,21.10,112.80,127.60,39.80,87.80,0.40,342.60,164.90,total,,,,
